addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
전북특별자치도 익산시 하나로 322 (어양동),,37,A02,A0207,A02070200,2618976,15,20190917224344,http://tong.visitkorea.or.kr/cms/resource/26/3534826_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/3534826_image3_1.jpg,Type3,126.9844672731,35.9492655338,6,20250910170741,9,063-227-2030,전북특별자치도 청년축제,54567,52,140,EV,EV01,EV010200
전북특별자치도 군산시 성산면 철새로 56,,37,B02,B0201,B02010100,3534675,32,20250910153312,http://tong.visitkorea.or.kr/cms/resource/96/3534596_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/3534596_image3_1.jpg,Type3,126.7618854419,36.0151652935,6,20250910153647,2,,군산 스테이 호텔,54045,52,130,AC,AC01,AC010100
전북특별자치도 임실군 성수면 왕방길 360,,37,A03,A0302,A03021700,2730046,28,20210803224349,http://tong.visitkorea.or.kr/cms/resource/03/2730303_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2730303_image2_1.jpg,Type3,127.3994333161,35.6244318959,6,20250910142451,10,,하늘구름길캠핑장,55917,52,750,AC,AC05,AC050100
전북특별자치도 완주군 동상면 대아수목로 144-1,,37,A03,A0302,A03021700,2730008,28,20210803222340,http://tong.visitkorea.or.kr/cms/resource/91/2730191_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2730191_image2_1.jpg,Type3,127.3035435550,35.9806452904,6,20250910140541,8,,에코캠프오토캠핑장,55344,52,710,AC,AC05,AC050200
전북특별자치도 부안군 내소사로 191 내소사매표소,,37,A02,A0201,A02010800,126352,12,20040203090000,http://tong.visitkorea.or.kr/cms/resource/40/3095740_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/3095740_image3_1.jpg,Type1,126.5894667158,35.6122277197,6,20250910113852,6,,내소사(부안),56344,52,800,HS,HS03,HS030100
세종특별자치시 조치원읍 조치원2길 60,,8,A02,A0207,A02070200,3529811,15,20250901143843,http://tong.visitkorea.or.kr/cms/resource/05/3529805_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/3529805_image3_1.jpg,Type3,127.2978746308,36.5986023052,6,20250910094149,1,044-999-1085,세종 한글술술 축제,30028,36110,36110,EV,EV01,EV010200
세종특별자치시 전동면 깊은내길 82,,8,A05,A0502,A05020900,3533979,39,20250909180804,http://tong.visitkorea.or.kr/cms/resource/73/3533973_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/73/3533973_image3_1.png,Type3,127.2668844233,36.6469795329,6,20250909181721,1,,세컨드세컨드,30012,36110,36110,FD,FD05,FD050100
세종특별자치시 다솜로 216 (세종동),,8,A02,A0207,A02070100,1849007,15,20131005014843,http://tong.visitkorea.or.kr/cms/resource/38/3389438_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/38/3389438_image3_1.JPG,Type3,127.2701992755,36.4989993515,6,20250909164519,1,044-850-0591~0593,세종한글축제,30120,36110,36110,EV,EV01,EV010100
세종특별자치시 전동면 깊은내길 213,,8,A03,A0302,A03021700,2728572,28,20210729193747,http://tong.visitkorea.or.kr/cms/resource/70/2728670_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2728670_image2_1.jpg,Type3,127.2539829112,36.6430880843,6,20250905140035,1,,다온숲,30012,36110,36110,AC,AC05,AC050100
세종특별자치시 금남면 도남2안길 13,,8,A05,A0502,A05020900,2767410,39,20211103031607,http://tong.visitkorea.or.kr/cms/resource/17/2767317_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2767317_image2_1.jpg,Type3,127.2408841284,36.4374753280,6,20250903095833,1,,카페리즌,30085,36110,36110,FD,FD05,FD050100
